step,k,minCalibratedJointProbability,maxLegs,maxCombinedOdds,capMin,capMax,recencyWeighting,nLeagueMin,includeConf,trainCoupons,trainHitRate,trainRoi,testCoupons,testHitRate,testRoi,testMaxDrawdown,verdict
1,10,0.4,3,6,0.05,0.8,"flat",15,true,1089,0.4508723599632691,0.993057759412307,91,0.4835164835164835,0.4535065934065935,8,"PASS"
1,10,0.4,3,6,0.05,0.85,"flat",15,true,1089,0.4508723599632691,0.993057759412307,91,0.4835164835164835,0.4535065934065935,8,"PASS"
1,10,0.4,3,6,0.05,0.9,"flat",15,true,1089,0.4508723599632691,0.993057759412307,91,0.4835164835164835,0.4535065934065935,8,"PASS"
1,10,0.4,3,6,0.1,0.8,"flat",15,true,1089,0.4508723599632691,0.993057759412307,91,0.4835164835164835,0.4535065934065935,8,"PASS"
1,10,0.4,3,6,0.1,0.85,"flat",15,true,1089,0.4508723599632691,0.993057759412307,91,0.4835164835164835,0.4535065934065935,8,"PASS"
1,10,0.4,3,6,0.1,0.9,"flat",15,true,1089,0.4508723599632691,0.993057759412307,91,0.4835164835164835,0.4535065934065935,8,"PASS"
1,10,0.4,3,6,0.15,0.8,"flat",15,true,1089,0.4508723599632691,0.993057759412307,91,0.4835164835164835,0.4535065934065935,8,"PASS"
1,10,0.4,3,6,0.15,0.85,"flat",15,true,1089,0.4508723599632691,0.993057759412307,91,0.4835164835164835,0.4535065934065935,8,"PASS"
1,10,0.4,3,6,0.15,0.9,"flat",15,true,1089,0.4508723599632691,0.993057759412307,91,0.4835164835164835,0.4535065934065935,8,"PASS"
1,10,0.45,3,6,0.05,0.8,"flat",15,true,746,0.450402144772118,1.0199349865951752,85,0.47058823529411764,0.3564600000000001,7,"PASS"
1,10,0.45,3,6,0.05,0.85,"flat",15,true,746,0.450402144772118,1.0199349865951752,85,0.47058823529411764,0.3564600000000001,7,"PASS"
1,10,0.45,3,6,0.05,0.9,"flat",15,true,746,0.450402144772118,1.0199349865951752,85,0.47058823529411764,0.3564600000000001,7,"PASS"
1,10,0.45,3,6,0.1,0.8,"flat",15,true,746,0.450402144772118,1.0199349865951752,85,0.47058823529411764,0.3564600000000001,7,"PASS"
1,10,0.45,3,6,0.1,0.85,"flat",15,true,746,0.450402144772118,1.0199349865951752,85,0.47058823529411764,0.3564600000000001,7,"PASS"
1,10,0.45,3,6,0.1,0.9,"flat",15,true,746,0.450402144772118,1.0199349865951752,85,0.47058823529411764,0.3564600000000001,7,"PASS"
